50,2,11.5,1.53,73.19,0.04,67.66,68.37,69.45,71.23,73.19,75.11,76.82,77.84,78.49
51,2,12.5,1.52,74.4,0.04,68.78,69.49,70.59,72.41,74.4,76.36,78.1,79.14,79.8
52,2,13.5,1.49,75.56,0.04,69.84,70.57,71.69,73.53,75.56,77.56,79.33,80.39,81.07
53,2,14.5,1.46,76.68,0.04,70.87,71.61,72.74,74.62,76.68,78.71,80.52,81.59,82.29
54,2,15.5,1.43,77.76,0.04,71.86,72.61,73.76,75.66,77.76,79.83,81.67,82.76,83.47
55,2,16.5,1.39,78.8,0.04,72.81,73.58,74.74,76.68,78.8,80.91,82.78,83.9,84.62
56,2,17.5,1.35,79.81,0.04,73.74,74.51,75.69,77.66,79.81,81.95,83.86,85,85.73
57,2,18.5,1.31,80.8,0.04,74.64,75.42,76.62,78.61,80.8,82.97,84.91,86.07,86.82
58,2,19.5,1.27,81.76,0.04,75.51,76.3,77.52,79.53,81.76,83.96,85.94,87.11,87.87
59,2,20.5,1.22,82.69,0.04,76.36,77.16,78.39,80.43,82.69,84.93,86.93,88.13,88.91
60,2,21.5,1.18,83.6,0.04,77.19,78,79.24,81.31,83.6,85.87,87.91,89.12,89.91
61,2,22.5,1.14,84.48,0.04,78,78.82,80.07,82.17,84.48,86.79,88.86,90.1,90.9
62,2,23.5,1.09,85.35,0.04,78.79,79.61,80.88,83,85.35,87.69,89.79,91.05,91.86
63,2,24.5,1.05,86.2,0.04,79.56,80.39,81.68,83.82,86.2,88.57,90.7,91.98,92.81
64,2,25.5,1.04,87.09,0.04,80.34,81.19,82.49,84.67,87.09,89.51,91.68,92.98,93.82
65,2,26.5,1.01,87.96,0.04,81.11,81.97,83.29,85.5,87.96,90.41,92.62,93.94,94.79
66,2,27.5,0.97,88.8,0.04,81.87,82.74,84.08,86.31,88.8,91.28,93.52,94.86,95.73
67,2,28.5,0.92,89.61,0.04,82.62,83.49,84.84,87.09,89.61,92.12,94.39,95.75,96.64
68,2,29.5,0.87,90.38,0.04,83.33,84.21,85.57,87.85,90.38,92.93,95.23,96.61,97.51
69,2,30.5,0.81,91.13,0.04,84.03,84.91,86.28,88.57,91.13,93.71,96.03,97.43,98.34
70,2,31.5,0.76,91.85,0.04,84.7,85.59,86.96,89.27,91.85,94.45,96.8,98.22,99.14
71,2,32.5,0.71,92.54,0.04,85.34,86.23,87.62,89.94,92.54,95.16,97.54,98.97,99.9
72,2,33.5,0.66,93.2,0.04,85.95,86.85,88.24,90.58,93.2,95.84,98.25,99.69,100.64
73,2,34.5,0.62,93.83,0.04,86.54,87.44,88.84,91.19,93.83,96.5,98.92,100.38,101.34
74,2,35.5,0.58,94.43,0.04,87.1,88.01,89.41,91.78,94.43,97.12,99.57,101.05,102.01
